Class,Major,Opt/Cr
JR,DSCI,G 4cr
FR,CS,G 4cr
SR,CS,G 4cr
FR,DSCI,G 4cr
JR,DSCI,G 4cr
SO,DSCI,G 4cr
FR,CS,G 4cr
U,CEP,G 4cr
SO,DSCI,G 4cr
SO,CS,G 4cr
JR,CYBR,G 4cr
SO,DSCI,G 4cr
SO,CS,G 4cr
JR,CS,G 4cr
SO,EXPL,G 4cr
JR,ATCH,G 4cr
SO,DSCI,G 4cr
FR,CS,G 4cr
SO,CS,G 4cr
FR,CS,G 4cr
FR,CS,G 4cr
FR,CS,G 4cr
JR,CS,G 4cr
SO,CS,G 4cr
JR,ATCH,G 4cr
JR,DSCI,G 4cr
SO,PSY,G 4cr
SO,PHYS,G 0cr
SR,DSCI,G 4cr
SO,CS,G 4cr
JR,DSCI,G 4cr
FR,CS,G 4cr
SR,PSY,G 4cr
SO,CS,G 4cr
FR,CS,G 4cr
JR,HIST,G 4cr
SR,EC,G 4cr
FR,CS,G 4cr
SO,ENVD,G 4cr
SO,CS,G 4cr
SO,DSCI,G 4cr
SR,MATH,G 4cr
SO,PBA,G 4cr
JR,CS,G 4cr
JR,CYBR,G 4cr
FR,CS,G 4cr
JR,PHYS,G 4cr
SO,DSCI,G 4cr
JR,PBA,P 0cr
FR,DSCI,G 4cr
SO,BADM,G 4cr
SO,MATH,G 4cr
SR,PHYS,G 4cr
SO,CS,G 4cr
SO,CS,G 4cr
SR,CS,G 4cr
SR,CINE,G 4cr
SO,EXPL,G 4cr
FR,CS,G 4cr
JR,CYBR,G 4cr
SO,EC,G 4cr
JR,PHYS,G 4cr
JR,CS,G 4cr
SO,CS,G 4cr
JR,DSCI,G 4cr
SO,CYBR,G 4cr
JR,CS,G 4cr
SO,BI,G 4cr
SO,CS,G 4cr
SO,CYBR,G 4cr
SO,CS,G 4cr
FR,CS,G 4cr
FR,BADM,G 4cr
FR,CS,G 4cr
JR,EC,G 4cr
SO,CS,G 4cr
JR,DSCI,G 4cr
SR,BADM,G 4cr
JR,PHYS,G 4cr
FR,CS,G 4cr
JR,MATH,G 4cr
SO,CS,G 4cr
SR,DSCI,G 4cr
JR,CH,G 4cr
SO,CS,G 4cr
FR,CYBR,G 4cr
SO,CS,G 4cr
FR,BI,G 4cr
SO,EXPL,G 4cr
SO,EC,G 4cr
SO,MJS,G 4cr
SO,CS,G 4cr
FR,CS,G 4cr
SO,CS,G 4cr
FR,CS,G 4cr
JR,CS,G 4cr
SR,PHYS,G 4cr
SO,CS,G 4cr
SO,DSCI,G 4cr
P,CYBR,G 4cr
JR,PSY,G 4cr
JR,DSCI,G 0cr
FR,CS,G 4cr
SO,DSCI,G 4cr
FR,CS,G 4cr
SO,CS,G 4cr
FR,CS,G 4cr
SR,CYBR,G 4cr
JR,EC,G 0cr
FR,CS,G 4cr
JR,MATH,G 4cr
