Code,Level,Type,Program Name,School,Degrees,Note
ABAO,Graduate,Major,Applied Behavior Analysis,ED,M.S.,Active Fall 2022. This program is online.
ACCM,Graduate,Major,Accounting (F25),BUS,M.Actg.,Active Fall 2025.
ACTG,Undergraduate,Major,Accounting,BUS,"B.A., B.S.",
ACTG,Graduate,Major,Accounting,BUS,Ph.D.,M.Actg.inactive summer 2025; replaced by ACCM in fall 2025.
ADBR,Graduate,Major,Advertising and Brand Responsibility,SOJC,M.A.,Active Fall 2017.
ALAW,Graduate,Major,American Law,LAW,LL.M.,Active Fall 2014.
AMAN,Undergraduate,Major,Arts Management,DSGN,"B.A., B.S.",Inactive Fall 2022.
AMGT,Graduate,Major,Arts Management,DSGN,"M.A., M.S.",Inactive Fall 2022.
ANTH,Undergraduate,Major,Anthropology,CAS,"B.A., B.S.",
ANTH,Graduate,Major,Anthropology,CAS,"Ph.D., M.A., M.S.",
APHY,Graduate,Major,Applied Physics,CAS,M.S.,
ARBF,Undergraduate,Major,Art,DSGN,B.F.A.,
ARCH,Undergraduate,Major,Architecture,DSGN,B.Arch.,
ARCH,Graduate,Major,Architecture,DSGN,"Ph.D., M.Arch.",
ARCM,Graduate,Major,Architecture,DSGN,M.S.,Active Fall 2022.
ARDF,Undergraduate,Major,Digital Arts,DSGN,B.F.A.,Inactive Fall 2016.
ARDG,Undergraduate,Major,Digital Arts,DSGN,"B.A., B.S.",Inactive Fall 2016.
ARH,Undergraduate,Major,Art History,DSGN,B.A.,
ARH,Graduate,Major,Art History,DSGN,"Ph.D., M.A.",
ART,Undergraduate,Major,Art,DSGN,"B.A., B.S.",
ART,Graduate,Major,Art,DSGN,M.F.A.,
ARTC,Undergraduate,Major,Ceramics,DSGN,B.F.A.,Inactive Fall 2018.
ARTF,Undergraduate,Major,Fibers,DSGN,B.F.A.,Inactive Fall 2018.
ARTM,Undergraduate,Major,Metalsmithing and Jewelry,DSGN,B.F.A.,Inactive Fall 2018.
ARTO,Undergraduate,Major,Photography,DSGN,B.F.A.,Inactive Fall 2018.
ARTP,Undergraduate,Major,Painting,DSGN,B.F.A.,Inactive Fall 2018.
ARTR,Undergraduate,Major,Printmaking,DSGN,B.F.A.,Inactive Fall 2018.
ARTS,Undergraduate,Major,Sculpture,DSGN,B.F.A.,Inactive Fall 2018.
AST,Undergraduate,Major,Asian Studies,CAS,B.A.,
AST,Graduate,Major,Asian Studies,CAS,M.A.,M.S. inactive.
ATCF,Undergraduate,Major,Art and Technology,DSGN,B.F.A.,Active Fall 2016.
ATCH,Undergraduate,Major,Art and Technology,DSGN,"B.A., B.S.",Active Fall 2016.
BADM,Undergraduate,Major,Business Administration,BUS,"B.A., B.S.",
BI,Undergraduate,Major,Biology,CAS,"B.A., B.S.",
BI,Graduate,Major,Biology,CAS,"Ph.D., M.S.",
BIC,Undergraduate,Major,Biochemistry,CAS,"B.A., B.S.",
BIEN,Graduate,Major,Bioengineering,KC,"M.S., Ph.D.",Active Winter 2021. M.S. in passing.
BIKC,Graduate,Major,Biology,KC,M.S.,Active Summer 2018.
BLAW,Graduate,Major,Business Law,LAW,LL.M.,Active Fall 2014.
C&FT,Graduate,Major,Couples & Family Therapy,ED,M.S.,
C&T,Graduate,Major,Curriculum and Teaching,ED,M.Ed.,Inactive Summer 2021.
C&TU,Graduate,Major,Curriculum and Teaching (UO Teach),ED,M.Ed.,Active Fall 2021.
CBH,Undergraduate,Major,Child Behavioral Health,CB,"B.A., B.S.",Active Fall 2023.
CDR,Graduate,Major,Conflict and Dispute Resolution,LAW,LL.M.,Active Fall 2015. Inactive Fall 2025.
CDS,Undergraduate,Major,Communication Disorders and Sciences,ED,"B.A., B.S.",
CDS,Graduate,Major,Communication Disorders and Sciences,ED,"Ph.D., M.S.",
CEP,Undergraduate,NA,Community Education Program,NA,NA,"Not in the registrar's table"
CFHS,Graduate,Major,"Counseling, Family, and Human Services",ED,M.Ed.,M.A. and M.S. inactive summer 2020. End summer 2027. M.A. and M.S. name change to Counseling Psychology in fall 2020
CH,Undergraduate,Major,Chemistry,CAS,"B.A., B.S.",
CH,Graduate,Major,Chemistry,CAS,"Ph.D., M.S.",
CHKC,Graduate,Major,Chemistry,KC,M.S.,Active Summer 2018.
CHN,Undergraduate,Major,Chinese,CAS,B.A.,
CINE,Undergraduate,Major,Cinema Studies,CAS,"B.A., B.S.",
CIS,Undergraduate,Major,Computer and Information Science,CAS,"B.A., B.S.",Inactive Fall 2022.
CIS,Graduate,Major,Computer and Information Science,CAS,"Ph.D., M.S.","Inactive Fall 2022. M.A. inactive fall 2020, ends summer 2027."
CLAS,Undergraduate,Major,Classics,CAS,B.A.,
CLAS,Graduate,Major,Classics,CAS,M.A.,
CMSD,Graduate,Major,Communication and Media Studies,SOJC,Ph.D.,Active Fall 2020.
CMSM,Graduate,Major,Communication and Media Studies,SOJC,"M.A., M.S.",Active Fall 2020.
COLT,Undergraduate,Major,Comparative Literature,CAS,"B.A., B.S.",
COLT,Graduate,Major,Comparative Literature,CAS,"Ph.D., M.A.",
CPSY,Graduate,Major,Counseling Psychology,ED,"Ph.D., M.S.",M.A. and M.S. active fall 2020.
CRES,Graduate,Major,Conflict and Dispute Resolution,LAW,"M.A., M.S.",
CRP,Graduate,Major,Community and Regional Planning,DSGN,M.C.R.P.,
CS,Undergraduate,Major,Computer Science,CAS,"B.A., B.S.",Active Fall 2022.
CSGD,Graduate,Major,Computer Science,CAS,Ph.D.,Active Fall 2022.
CSGM,Graduate,Major,Computer Science,CAS,M.S.,Active Fall 2022.
CSSE,Graduate,Major,Critical & Socio-Cultural Studies in Education,ED,Ph.D.,
CTED,Graduate,Major,Curriculum and Teacher Education,ED,M.S.,
CWR,Graduate,Major,Creative Writing,CAS,M.F.A.,
CYBR,Undergraduate,Major,Cybersecurity,CAS,B.S.,Active Fall 2023.
DABF,Undergraduate,Major,Dance,SOMD,B.F.A.,Active Fall 2021.
DANC,Undergraduate,Major,Dance,SOMD,"B.A., B.S.",
DANC,Graduate,Major,Dance,SOMD,"M.A., M.F.A., M.S.",
DDMP,Graduate,Major,Data-Driven Music Performance and Composition,SOMD,Ph.D.,Active Fall 2023.
DSC,Graduate,Major,Decision Sciences,BUS,"Ph.D., M.A., M.S.",Inactive Fall 2015.
DSCI,Undergraduate,Major,Data Science,CAS,"B.A., B.S.",Active Fall 2020.
EALL,Graduate,Major,East Asian Languages and Literatures,CAS,"Ph.D., M.A.",
EARD,Graduate,Major,Earth Sciences,CAS,Ph.D.,Active Fall 2016.
EARM,Graduate,Major,Earth Sciences,CAS,M.S.,Active Fall 2016.
EC,Undergraduate,Major,Economics,CAS,"B.A., B.S.",
EC,Graduate,Major,Economics,CAS,M.S.,
ECON,Graduate,Major,Economics,CAS,Ph.D.,
EDF,Undergraduate,Major,Educational Foundations,ED,"B.A., B.S.",
EDLD,Graduate,Major,Educational Leadership,ED,"D.Ed., M.Ed.","Inactive Summer 2023. M.A. and M.S. inactive summer 2022, replaced with EPLD; M.Ed. And D.Ed. inactive summer 2023, replaced with EDLM and EDLO."
EDLI,Graduate,Major,Educational Leadership - License Only,ED,,Active Summer 2023. No UO credential; students pursuing licensure only.
EDLM,Graduate,Major,Educational Leadership,ED,M.Ed.,Active Summer 2023.
EDLO,Graduate,Major,Educational Leadership,ED,D.Ed.,Active Summer 2023. This program is online.
EDLS,Graduate,Major,Educational Leadership,ED,Ed.S.,Active Summer 2024.
ENG,Undergraduate,Major,English,CAS,B.A.,
ENG,Graduate,Major,English,CAS,"Ph.D., M.A.",
ENRL,Graduate,Major,Environmental and Natural Resources Law,LAW,LL.M.,Active Fall 2014.
ENV,Undergraduate,Major,Environmental Studies,CAS,"B.A., B.S.",
ENV,Graduate,Major,Environmental Studies,CAS,"M.A., M.S.",
ENVD,Undergraduate,Major,Environmental Design,DSGN,"B.A., B.S.",Active Fall 2023.
EPLD,Graduate,Major,Education Policy and Leadership,ED,"M.A., M.S.",Active Summer 2022.
ERTH,Undergraduate,Major,Earth Sciences,CAS,"B.A., B.S.",Active Fall 2016.
ESCI,Undergraduate,Major,Environmental Science,CAS,"B.A., B.S.",
ESSP,Graduate,Major,"Environmental Sciences, Studies, and Policy",CAS,Ph.D.,
ETHN,Undergraduate,Major,Ethnic Studies,CAS,"B.A., B.S.",
ETST,Graduate,Major,"Indigenous, Race and Ethnic Studies",CAS,"M.A., Ph.D.",Active Fall 2021. M.A. in passing.
EXPL,Undergraduate,Major,Exploring,,None,Not in the registrar's table
FHS,Undergraduate,Major,Family and Human Services,ED,"B.A., B.S.","B.Ed. inactive fall 2024, ends summer 2031."
